Từng cặp một	一一对
Trong một khoảnh khắc	一刹那
Ngay từ khi	一刻起
Một phần tư giờ	一刻钟
Một gallon	一加仑
Một điểm cộng	一加分
Một điểm cộng	一加级
Mười bảy	一十七
Mười ba.	一十三
Mười chín	一十九
Mười hai	一十二
Mười lăm	一十五
Mười tám	一十八
Mười sáu.	一十六
10 triệu đồng.	一千万
Một nghìn	一千个
Một nghìn hai	一千二
Trăm tỷ đồng.	一千亿
Một nghìn cái	一千件
Nghìn bản sao.	一千份
Hơn một nghìn	一千余
Nghìn lần	一千倍
Một nghìn nhân dân tệ	一千元
Ngàn câu đối	一千句
Một nghìn con	一千只
Một nghìn người	一千名
Nghìn tấn.	一千吨
Một ngàn đô.	一千块
Hơn một nghìn	一千多
Nghìn ngày	一千天
Một nghìn gia đình	一千家
Nghìn năm tuổi	一千岁
Một nghìn năm	一千年
Nghìn độ.	一千度
Một ngàn cái.	一千把
Một nghìn cuốn sách.	一千本
Một nghìn thanh	一千条
Một nghìn chiếc	一千架
Nghìn lần	一千次
Một nghìn điểm	一千点
Nghìn lần	一千遍
Một nghìn bộ	一千部
Một nghìn phòng	一千间
Một lít rưỡi	一升半
Một lít dầu	一升油
Một lít	一升装
Một nửa trong số đó	一半则
Một nửa trong số đó	一半处
Hơn một nửa	一半多
Một nửa số trạm	一半站
Một Nam-Nam	一南南
Thẻ tất cả trong một	一卡通
Một lớp dày	一厚层
Một cặp đôi	一双双
Một lần phát	一发发
Xếp chồng lên nhau	一叠叠
Miệng miệng	一口口
Một hơi thở	一口气
Một túi tiền	一口袋
Một câu nói	一句句
Một tùy chọn	一可选
Đường dây số 1.	一号线
Một bộ phận liên	一司际
Một tấn rưỡi	一吨半
Một năm tuổi	一周岁
Kỷ niệm một năm	一周年
Một và trên	一和上
Một và hai	一和二
Một và năm	一和五
Một và bốn	一和四
Một tổng đồ thị	一和图
Một và một cuốn sách	一和本
Một và bàn	一和表
Một và không	一和非
Trạng nguyên	一品红
Cuộc đua một dặm	一哩赛
Một nang	一囊性
Một cái túi.	一囊状
Một mớ hỗn độn	一团糟
Một quốc gia tạo điều kiện thuận lợi cho	一国为
Một quốc gia trong	一国于
Một quốc gia chỉ	一国仅
Thế hệ của một quốc gia	一国代
Một quốc gia nổi tiếng với	一国以
Một quốc gia như	一国似
Một quốc gia làm	一国作
Đảng Một quốc gia	一国党
Trước một nước	一国前
Một quốc gia và	一国及
Một quốc gia chịu ảnh hưởng của	一国受
Một quốc gia cùng	一国同
Sau khi một nước	一国后
Một đất nước	一国地
Mỗi quốc gia	一国均
Một quốc gia nên	一国应
Một quốc gia được	一国得
Một quốc gia muốn	一国想
Theo một quốc gia	一国据
Khi một quốc gia	一国时
Một quốc gia đến	一国来
Hạt nhân của một quốc gia	一国核
Kinh tế của một quốc gia	一国经
Một quốc gia có thể	一国能
Một quốc gia muốn	一国要
Một quốc gia đặt	一国订
Lý thuyết về một quốc gia	一国论
Một đội tuyển quốc gia	一国队
Một quốc gia trừ	一国除
Một quốc gia phải	一国须
Một vòng tròn	一圈圈
Một mảnh đất dài	一地长
Một trận	一场场
Một cảnh trống trải	一场空
Cùng nhau.	一块儿
Từng mảng một	一块块
Một đô la	一块钱
Cầu thủ thứ nhất	一垒手
Sau một thành phố	一城后
Một năm cơ sở	一基年
Một bài học	一堂课
Một đống	一堆堆
Một nồi nước	一壶水
Một sự thay thế	一备择
Hơn một nửa	一多半
Một quốc gia đa	一多国
Một báo cáo quá mức	一多报
Một đa số	一多数
Tình một đêm	一夜情
Trong một đêm	一夜间
Hơn một nửa	一大半
Một ngụm lớn	一大口
Một khối lượng lớn	一大块
Một đống	一大堆
Một băng đảng lớn	一大帮
Một khối lượng lớn	一大截
Một số lượng lớn	一大批
Một hàng dài	一大排
Sáng sớm	一大早
Một bước tiến lớn	一大步
Một số tiền lớn	一大笔
Một nhóm lớn	一大群
Một bước nhảy lớn	一大跳
Ngày qua ngày	一天天
Một bộ	一套套
Một cô gái trình diễn	一女秀
Một giai đoạn con	一子期
Một từ nên	一字应
Quý I	一季度
Một cú đánh	一安打
Một lượng nhất định	一定量
Một thực tế	一实性
Thành phố Ichimiya	一宫市
Đường dây một nhà	一宫线
Một gia đình thân thiết.	一家亲
Một gia đình	一家人
Một gia đình	一家子
Một gia đình	一家家
Một đối một	一对一
Một cặp hai	一对二
Một cặp rưỡi	一对半
Một cặp đôi	一对对
Một lá thư	一封信
Một bức thư	一封封
Một chùm tia	一射束
Một gói nhỏ	一小包
Một nửa nhỏ bé	一小半
Một mảnh nhỏ	一小块
Một đống nhỏ	一小堆
Một nhóm nhỏ	一小撮
Một miếng nhỏ	一小片
Từng lớp, từng lớp	一层层
Một tầng	一层楼
Một nhà nước	一州者
Một công việc phát	一工发
Một cột bên trái	一左栏
Một cái tát	一巴掌
Một lời nói	一席话
Một nhóm người	一帮人
Từng mảnh một	一幅幅
Một cảnh tượng	一幕幕
Sau một trận hòa	一平后
Hệ thống một năm	一年制
Thời hạn một năm	一年期
Hằng năm, sinh	一年生
Lớp một	一年级
Một trong những nhận thức rộng rãi	一广受
Một dãy	一序列
Một chỗ ngồi	一座座
Một phiên tòa	一庭期
Một tầm nhìn	一异象
Một ngôi sao bị bỏ rơi	一弃星
Một Franc	一弗朗
Một khoản thu	一征费
Một giải pháp đang chờ xử lý	一待决
Một chiếc dunam	一德南
Một kẻ ấu dâm.	一恋童
Một lợi ích	一惠益
Một tầm nhìn	一愿景
Một Grey.	一戈瑞
Một cánh cửa	一扇门
Từng đợt, từng đợt	一批批
Một lựa chọn kỹ thuật	一技选
Lãnh đạo cao nhất	一把手
Một cái nắm	一把抓
Một tay ném	一投手
Chỉ một phát thôi.	一投才
Khi một phát	一投时
Ngay khi báo cáo	一报到
Một sự mất uy tín	一抹黑
Kéo lên.	一拉上
Ngay khi nhặt được	一拿起
Một cái khá to.	一挺大
Quay lại.	一掉头
Một hàng dài	一排排
Cả gói	一揽子
Một danh sách bao gồm	一揽表
Ngay khi phát sóng	一播出
Cả một	一整只
Cả một mảnh	一整块
Suốt đêm	一整夜
Cả ngày hôm nay	一整天
Cả một đầu	一整头
Một tập hợp đầy đủ các	一整套
Cả một chỗ ngồi.	一整座
Cả một tấm	一整张
Một cốc đầy đủ	一整杯
Cả một mảnh	一整片
Một chai nguyên	一整瓶
Một mặt,	一方面
Ðảng bộ một dân tộc	一族党
Một gia đình sản	一族实
Không có gì cả.	一无所
Không có lương.	一无薪
Một chuyến đi trong ngày	一日游
Tính nhất thời	一时性
Một thời kỳ	一时期
Trong một thời gian	一时间
Một sự nhạy cảm	一易感
Một ngôi sao	一星级
Một là, một	一是一
Một cảnh tượng mong muốn	一景愿
Một trái tim ấm áp	一暖心
Một thời kỳ ấm áp	一暖期
Một bài hát	一曲曲
Vào tháng Giêng	一月份
Cuối tháng 1	一月底
Ngay khi có bóng	一有球
Một giải pháp chưa được giải quyết	一未解
Một bông hoa	一朵朵
Một bông hoa	一朵花
Một bó hoa	一束花
Một lòng một dạ	一条心
Từng thanh, từng	一条条
Một dòng	一条线
Một con phố	一条街
Một con rồng	一条龙
Một chiếc cốc	一杯杯
Một phi vụ	一架次
Từng mảng, từng mảng, từng mảng, từng mảng,	一栋栋
Núi Một Cây	一树山
Một thùng phuy	一桶桶
Cầu một dầm	一梁桥
Một cây	一棵树
Một quả nho nhỏ	一榄子
Một lần	一次性
Hết lần này đến lần khác	一次次
Một nước cờ	一步棋
Từng bước một	一步步
Cách tiếp cận một bước	一步法
Một bước nhảy	一步舞
Một đoạn văn	一段段
Một đoạn văn	一段落
Một đoạn văn	一段话
Một đoạn đường	一段路
Một ăn hai.	一比二
Một đồng xu	一毛钱
Một mililit	一毫升
Một Chlorobis	一氯二
Một cloramin	一氯胺
Một nước, hai	一水二
Một đơn hàng nước	一水单
Một hồ bơi	一池池
Một vết bẩn	一沾上
Một hệ thống pháp luật	一法系
Một pháp y	一法证
Một franc	一法郎
Trước một làn sóng	一波前
Sau một đợt	一波后
Một làn sóng	一波性
Một làn sóng kết nối	一波接
Một làn sóng các điểm	一波点
Một làn sóng trên mặt đất	一浪地
Một làn sóng nối	一浪接
Một lần tắm	一浴式
Sáng sớm	一清早
Lướt qua một chút.	一溜烟
Một khoản vượt	一溢额
Một cốc đầy	一满杯
Một hộp đầy	一满箱
Một giọt nước	一滴水
Một Tâm Tâm	一潭潭
Một chút thôi.	一点儿
1 giờ rưỡi.	一点半
Hơn một chút.	一点多
Một chút thôi.	一点点
Một giờ đồng hồ	一点钟
Một tình yêu Đảng	一爱党
Từng mảng một	一片片
Trong một lần xuất bản	一版上
Phiên bản đầu tiên trong	一版于
Một mặt hàng	一物项
Một bộ liên kết	一环套
Một bàn thắng cho tất cả	一球全
Khi một quả bóng	一球时
Một quả bóng đến	一球来
Một cuốn sách	一由本
Monomethylamine	一甲胺
Trong một lời nói	一番话
Một Dent.	一登特
Một triệu đồng.	一百万
Một trăm người	一百个
Một trăm cái	一百件
Một trăm lần	一百倍
Một trăm nhân dân tệ	一百元
Một trăm tám	一百八
Một trăm điểm	一百分
Một trăm con	一百只
Một trăm người	一百名
Một trăm đô.	一百块
Hơn một trăm	一百多
Một trăm ngày	一百天
Một trăm con	一百头
Một trăm gia đình	一百家
Một trăm năm tuổi	一百岁
Một trăm năm	一百年
Một trăm tờ	一百张
Một trăm cái	一百支
Một trăm thanh	一百条
Một trăm chiếc	一百枚
Một trăm gốc	一百根
Một trăm lần	一百次
Một trăm loài	一百种
Một trăm bài báo	一百篇
Một trăm mét	一百米
Một trăm chiếc	一百辆
Một trăm lần	一百遍
Một trăm chiếc	一百颗
Một lạng	一盎司
Một ngọn đèn	一盏灯
Một chiếc hộp	一盒盒
Một ván cờ	一盘棋
Một món ăn	一盘菜
Trong một pha	一相中
Một giai đoạn có	一相有
Phương pháp một pha	一相法
Trong nháy mắt	一眨眼
Trong một khoảnh khắc	一瞬间
Một viên đá và một nửa	一石半
Một chuyện.	一码事
Một bát nước	一碗水
Chủ nghĩa độc thần	一神教
Chủ nghĩa độc thần	一神论
Hệ thống một phiếu bầu	一票制
Một lá phiếu đi qua	一票通
Một thảm họa	一祸灾
Một lệnh cấm sản xuất	一禁产
Yibing Cheng	一秉诚
Một môn học trong	一科于
Chỉ một giây thôi.	一秒钟
Một ổ trứng	一窝卵
Một bầy đàn	一窝蜂
Một cửa liên thông	一站式
Một điểm dừng chân	一站通
Một cây bút	一笔笔
Binh nhất	一等兵
Bằng khen hạng nhất	一等功
Giải nhất	一等奖
Hạng nhất	一等舱
Một ống đất	一管土
Một cụm	一簇簇
Một dòng tranh chấp	一系争
Một loạt các	一系列
Một sợi chỉ ngày	一线天
Một nhóm các nhóm	一组组
Một cột nhỏ	一细列
Những sợi	一缕缕
Một mạng lưới	一网通
Một nhóm các nhóm	一群群
Hết lần này đến lần khác	一而再
Một vị trí trong	一职于
Ngoài nhiệm vụ	一职外
Những người có chức vụ	一职者
Một vị trí phải	一职须
Một chuỗi	一联串
Một cái bụng	一肚子
Một nguồn năng lượng	一股劲
Một bộ não	一股脑
Một cơn gió	一股风
Một con	一胎化
Một thắng một	一胜一
Một gluon	一胶子
Một đến bảng	一至表
Tính nhất quán	一致性
Một đoạn đường bay	一航段
Khái quát hóa	一般化
Tổng quát	一般性
Một con tàu	一艘船
Một bài học	一节课
Số cây giống một	一苗数
Một inch	一英寸
Một dặm	一英里
Một màu xanh.	一蓝子
Những dòng người nối tiếp nhau	一行行
Một bàn một	一表一
Trong một bảng	一表中
Một biên độ	一裕度
Danh sách kiểm tra	一览表
Một đồng xu	一角钱
Một lời giảng	一言堂
Một thế hệ từ	一词代
Từ nắm giữ	一词持
Một từ nhìn	一词视
Một từ được viết	一语作
Ngay khi nói về	一说到
Nhóm một thung lũng	一谷组
Một gói hàng	一货包
Tính nhất quán	一贯制
Tính nhất quán	一贯性
Hệ thống một khoản phí	一费制
Trên đường đi,	一路上
Tất cả các con đường	一路下
Tất cả các con đường để chiến đấu	一路打
Trong một lần nhảy	一跳时
Một thân hình nhẹ nhàng	一身轻
Chỉ trong nháy mắt,	一转眼
Trên một trục	一轴上
Một chiếc xe	一辆车
Một chiếc xe	一辆辆
Cả một đời người	一辈子
Một chiều	一边倒
Một cú đánh trúng đích	一达阵
Tình dục thoáng qua	一过性
Ngay khi bước vào	一进到
Ngay khi bước vào cửa hàng	一进店
Một loạt các	一连串
Một tuyển chọn	一选角
Một con đường	一道道
Một phần của	一部分
Một đô thị	一都会
Một dặm đường	一里路
Một bạc, một	一银一
Một nồi cùng với	一锅加
Một nồi nước	一锅水
Phương pháp một nồi	一锅法
Nấu một nồi	一锅煮
Một nồi dùng cho	一锅用
Một nồi cơm	一锅餐
Một danh sách dài	一长串
Một cột dài	一长列
Hệ thống một chiều dài	一长制
Một bộ phim dài	一长片
Trong nháy mắt	一闪中
Một hồi tưởng	一闪回
Một tia sáng trắng	一闪白
Trong một thời gian	一阵子
Một mặt trận	一阵线
Trong một đợt	一阵阵
Có mưa rào rải rác;	一阵雨
Một cơn gió	一阵风
Một phần bậc nhất	一阶偏
Thứ tự đầu tiên để	一阶到
Cộng bậc nhất	一阶加
Thay đổi bậc nhất	一阶变
Sau khi bước đầu	一阶后
Hằng số bậc nhất	一阶常
Cuốn sách thứ nhất	一阶本
Hạt nhân bậc nhất	一阶核
Mô hình bậc nhất	一阶模
Thời điểm thứ nhất	一阶矩
Đường bậc nhất	一阶线
Lưới bậc nhất	一阶网
Thứ tự đầu tiên kể từ khi	一阶自
Giải pháp bậc nhất	一阶解
Phổ bậc nhất	一阶谱
Tổng hợp bậc nhất	一阶辛
Mục bậc nhất	一阶项
Một gắn liền với	一附于
Sau khi đính kèm một	一附后
Một giới hạn	一限数
Hệ thống đơn viện	一院制
Một không một	一零一
Một bãi mìn	一雷场
Một lần không gặp	一非遇
Một mặt ngã xuống	一面倒
Một mặt hàng	一项项
Một bữa ăn	一顿饭
Từng cái một.	一颗颗
Một bữa cơm	一餐饭
Một bài hát năm	一首五
Một bài hát	一首歌
Một bài hát	一首首
Một Mano.	一马诺
Một xương.	一骨性
Một nguy cơ cao	一高危
Một báo cáo cao	一高报
Một hàng cao	一高行
Một cái vảy	一鳞状
Một con rồng	一龙队
Đinh Nhật Minh	丁一民
Butanetriol	丁三醇
Thí dụ như Thống	丁为例
Ánh sáng của Đinh	丁之光
Cái chết của Đinh	丁之死
Butanediyne	丁二炔
Butadien	丁二烯
Succinonitrile	丁二腈
Diacetyl	丁二酮
Butylen diester	丁二酯
Axit succinic	丁二酸
Butanediol	丁二醇
Dingbergen	丁伯根
Ding Junhui	丁俊晖
Ông Đinh	丁先生
Ding Guangen	丁关根
Đình lao qua	丁冲过
Làng Đình Lý	丁利村
Thị trấn Đinh Lý	丁利镇
Đinh Gác	丁加克
Dinganu	丁加奴
Người dân Dinka	丁卡人
Dân tộc Đinh Ca	丁卡族
Làng Đình Cả	丁卡村
Tiếng Dinka	丁卡语
Dingus	丁古斯
Đinh và Giao	丁和乔
Đinh Hòa Kế	丁和科
Đinh Quốc Lượng	丁国良
Butyl Lithium	丁基锂
Ding Murphy	丁墨菲
Bà Dinh	丁夫人
Dimes.	丁姆斯
Đinh Tử Lâm	丁子霖
Hình chữ T	丁字形
Thông	丁字裤
Tinia	丁尼亚
Đinh Thế Huynh	丁尼恩
Tinnigan.	丁尼根
Tinnison.	丁尼森
Tennyson	丁尼生
Tiny cho biết	丁尼说
Diconazole	丁康唑
Đinh Dr.	丁德尔
Tintole	丁托列
Đinh La Thăng thắng lợi	丁拉胜
Tỉnh Thừa Thiên-Huế	丁敦省
Dinsky	丁斯基
Dins cho biết	丁斯说
Dinston	丁斯顿
Đinh Hoàng Minh	丁昂敏
Dingle	丁格尔
Thương đã tử vong tại	丁死于
Kali butoxit	丁氧钾
Đình Hàm	丁汉姆
Dingwall	丁沃尔
Đinh Thái Phương	丁泰丰
Ding Ze cho biết	丁泽说
Đinh Byungcai	丁炳才
Butene II	丁烯二
Buticol	丁硫克
Butyanin	丁硫宁
Đinh Soojin	丁秀珍
Đinh Thọ Cường	丁索昆
Bumetone	丁美酮
Dinkoff	丁考夫
Butachlor	丁草胺
Butyloctyl ester	丁辛酯
Tyndal	丁达尔
Đình Điểm	丁迪姆
Dinkins.	丁金斯
Đinh Thị Quý	丁锡奎
Đinh A Khang	丁阿康
Dầu đinh hương	丁香油
Hoa tử đinh hương	丁香花
Eugenol	丁香酚
Ngày 15 tháng 7	七一五
Bảy Bảy Bảy.	七七七
Hơn 70 nghìn	七万多
70 nghìn hộ gia đình	七万家
Giảm giá 25%	七五折
Hệ thống bảy người	七人制
Bảy người bị	七人受
Cánh đồng bảy người	七人场
Vụ bảy người	七人案
Bảy người đàn ông của Lâm	七人榄
Phiên bản bảy người	七人版
Màn trình diễn của bảy	七人秀
Nhóm bảy người	七人组
Cuộc đua bảy người	七人赛
Đội bảy người	七人队
Bảy chữ số	七位数
70 hay 80 ngàn.	七八万
Bảy, tám lần	七八下
Bảy, tám	七八个
Bảy hay tám người	七八位
Bảy, tám chiếc	七八具
Bảy tám điểm	七八分
Bảy hay tám mươi	七八十
Bảy hay tám người.	七八名
Bảy, tám ngày	七八天
Bảy, tám gia đình	七八家
Bảy, tám tuổi.	七八岁
Bảy, tám năm	七八年
Bảy, tám tờ	七八张
Bảy tám phần trăm	七八成
Bảy hay tám cái	七八支
Bảy, tám lần	七八次
Bảy, tám giờ.	七八点
Bảy, tám trăm	七八百
Bảy, tám loài	七八种
Bảy tám mét	七八米
Bảy nội dung	七内载
Quần bảy điểm	七分裤
Bảy phút.	七分钟
Bảy mươi mốt	七十一
Bảy mươi bảy	七十七
700 nghìn.	七十万
Bảy mươi ba	七十三
Bảy mươi	七十个
Bảy mươi chín	七十九
Bảy mươi hai	七十二
Bảy mươi lăm	七十五
Bảy mươi tám	七十八
Bảy mươi sáu	七十六
Bảy mươi người	七十名
Bảy mươi tư	七十四
Hơn bảy mươi	七十多
Bảy mươi gia đình	七十家
Ở tuổi bảy mươi	七十岁
Bảy mươi năm	七十年
70 điều	七十条
Bảy mươi mét.	七十米
70 triệu đồng.	七千万
Bảy nghìn nhân dân tệ	七千元
Bảy nghìn người	七千名
Bảy nghìn đô.	七千块
Bảy nghìn năm	七千年
Cây dẻ ngựa	七叶树
Bảy tuổi.	七周岁
Kỷ niệm bảy năm	七周年
Bảy và Mười	七和十
Bảy và bàn	七和表
Bảy quốc gia cộng	七国加
Lễ hội Qixi	七夕节
Bảy châu lục	七大洲
Bảy danh mục chính	七大类
Giếng Bảy Tàu	七头井
Bảy tội lỗi	七宗罪
Heptafuene	七富烯
Bảy tầng.	七层楼
Tangram	七巧板
Lớp 7	七年级
Bảy Franc	七弗朗
Bảy phron	七弗隆
Đàn đàn lia	七弦琴
Bảy trận đấu mạnh nhất	七强赛
Khoảng 7 giờ	七时许
Tháng 7	七月份
Bảy đồi rừng	七林岗
Sevoflurane	七氟醚
Heptachlor là	七氯是
Heptachlor	七氯降
Giữa bảy biển khơi	七海中
Heptabromode	七溴代
Shirasori.	七濑里
7 giờ.	七点钟
Bảy Yuyuben	七由本
Bảy triệu đồng.	七百万
700 nhân dân tệ.	七百元
Bảy trăm người.	七百名
Hơn bảy trăm	七百多
Bảy trăm năm	七百年
Bảy giây thôi.	七秒钟
Heptamer	七聚体
Bảy bảng sáu	七表六
Bàn chân bảy ngón	七趾脚
Bảy chiếc xe	七辆车
Bảy chức vô địch liên tiếp	七连冠
Qilihe	七里河
Nhóm Bảy	七重奏
Ngõ Bảy Ủng	七靴巷
Chim ưng biển	七鳃鳗
Bảy viên ngọc rồng	七龙珠
Trong trường hợp ra khỏi	万一出
Vân Đình Bắc	万丁北
Vanailor	万乃洛
Tất cả mọi người	万之众
Bao nhiêu triệu	万之多
Mọi thứ đều vui vẻ	万事兴
MasterCard	万事达
Tất cả những gì có thể làm được	万事通
Triệu người trong	万人于
10 nghìn người chỉ	万人仅
Triệu người với	万人以
Triệu người sẽ	万人会
10 nghìn người sống	万人住
Mười nghìn người làm	万人作
Mười nghìn người được miễn	万人免
10 nghìn người nuôi	万人养
10 nghìn người đến	万人到
Mười nghìn người tóc	万人发
10 nghìn người bị	万人受
Sau 10 nghìn người	万人后
Những ngôi mộ tập thể	万人坑
Ngoài 10 nghìn người	万人外
10 nghìn người ít	万人少
10 nghìn người mang	万人带
Mười nghìn người bị	万人患
Mười nghìn người giữ	万人持
Mười nghìn người theo	万人据
Hàng vạn người	万人排
Khi mười nghìn người	万人时
Vạn người dễ dàng	万人易
10 nghìn dân.	万人本
Triệu người đến	万人来
Mười nghìn người nhuộm	万人染
Triệu lượt hành khách.	万人次
10 nghìn người dân điểm	万人点
Mười nghìn người hiện	万人现
Triệu người sử dụng.	万人用
Mười nghìn người hơi	万人略
Triệu người có thể	万人能
Triệu đồng bào, hoa	万人花
Triệu người muốn	万人要
Hơn 10 nghìn người.	万人过
Người hâm mộ vạn người	万人迷
Mười nghìn người xuống	万人降
Mười nghìn người không	万人非
Nghìn tỷ đồng.	万亿个
Nghìn tỷ nhân dân tệ	万亿元
Nghìn tỷ tấn.	万亿吨
Nghìn tỷ năm	万亿年
Nghìn tỷ lần	万亿次
Hơn 10 nghìn	万余个
Hơn 10 nghìn chiếc.	万余件
