Một chút thôi.	一下
Ba chiếc lá	三叶
Ba trong số các	三名
Trong ba tuần	三周
Triazin	三嗪
Tam Quốc	三国
Ba trận đấu	三场
Ba âm thanh	三声
Trong ba ngày	三天
Ba mùa giải	三季
Ba nhà	三家
Ba lần	三届
Ba tuổi	三岁
Ba ghế ngồi	三席
Trong ba năm	三年
Ba cường quốc	三强
Hãy suy nghĩ kỹ	三思
Ba phần trăm	三成
Ba thủ thuật	三招
Ba đòn tấn công	三振
Trong ba ngày	三日
Ba giờ	三时
Samsung	三星
Tháng 3	三月
Ba giai đoạn	三期
Ba cú đánh	三杆
Ba bài báo	三条
Ba cốc	三杯
Ba tấm	三板
Ba phát súng	三枪
Ba trụ cột	三柱
Ba bánh răng	三档
Tầng ba	三楼
Ba lần	三次
Ba đoạn văn	三款
Ba điểm	三点
Ba bàn thắng	三球
Ba chai	三瓶
Trisulfide	三硫
Ba loại	三种
Bí thư thứ ba	三秘
Ba chương	三章
Ba mét	三米
Ba loại	三类
Cấp độ 3	三级
Ba nhóm	三组
Ba phố phường	三街
Tam giác	三角
Ba thứ tiếng	三语
Ba liên kết	三通
Ba bộ	三部
Triester	三酯
Ba mũi khâu	三针
Tricalcium	三钙
Trinatri	三钠
Tripotassium	三钾
Triammonium	三铵
Ba magiê	三镁
Ba phòng	三间
Người hộ tống	三陪
Ba mặt hàng	三项
Giao nộp	上交
Nhậm chức.	上任
Tải lên	上传
đi lên	上升
Buổi sáng	上午
Đi lên	上去
Lên sân khấu	上台
Cấp trên	上司
Treo cổ	上吊
Tuần trước,	上周
Môi trên	上唇
Trên sân khấu	上场
Lên dốc	上坡
Trung sĩ	上士
Thượng đế.	上天
Đi học	上学
Đô đốc	上将
Thuyền trưởng	上尉
Tầng trên	上层
Lên núi	上山
Các vị trí công tác	上岗
Lên bờ	上岸
Việc niêm yết	上市
Thượng đế	上帝
Năm trước,	上年
Đi ngủ	上床
Ra tòa	上庭
Bị lừa	上当
Nâng tầm	上扬
Báo cáo	上报
Đẩy lên	上推
Trên đây	上文
Trên	上方
Vào thời điểm trên	上时
Được phát hành	上映
Trong giai đoạn vừa qua,	上期
Lên đây!	上来
Lên kệ	上架
Đại tá	上校
Lên bàn	上桌
Lên lầu đi.	上楼
Trong danh sách	上榜
Thượng nguồn sông	上河
Định cỡ	上浆
Thượng Hải	上海
đi lên	上涨
Thượng Hải	上港
Ngược dòng	上游
Sơn	上漆
Dàn dựng	上演
Trèo lên	上爬
Công việc	上班
Nghiện	上瘾
Biểu mô	上皮
Trên bầu trời	上空
Đầu trên	上端
Chính sách hàng đầu	上策
Lượt đi	上篮
Cấp trên	上级
Lên mạng	上线
Chuyển giao	上缴
Lên mạng	上网
Nạp đạn	上膛
Cánh tay trên	上臂
Lên thuyền đi.	上船
Phục vụ các món ăn	上菜
Sáp	上蜡
Đường lên	上行
Ra đường	上街
Những chiếc áo khoác	上衣
Hẹn gặp lại.	上见
Kháng nghị	上诉
Lớp học	上课
Điều chỉnh tăng	上调
Lên đường	上路
Phần thân trên	上身
Lên xe đi.	上车
Tải lên	上载
Phần trên	上部
Tráng men	上釉
Mắc câu	上钩
Khóa cửa	上锁
Ăn ảnh	上镜
Đến cửa nhà	上门
Ra trận	上阵
Giới hạn trên	上限
Thượng viện	上院
Trên đây	上面
Thế thượng phong	上风
Đặt hàng	下令
Phía dưới	下侧
Cắt giảm	下切
Sau đây là	下列
Buổi chiều	下午
Đặt hàng	下单
Đi xuống	下去
Bước xuống	下台
Tuần tới	下周
Nuốt nước bọt.	下咽
Hình ảnh dưới đây	下图
Sự kết thúc của	下场
Xuống dốc	下坡
Chập chùng	下垂
Hạ sĩ	下士
Dưới đầu	下头
Hạ tầng	下层
Xuống núi	下山
Cho thôi việc	下岗
Hàm	下巴
Dưới đây nên	下应
Bắt đầu đi.	下手
Sự sụt giảm	下挫
Viền áo	下摆
Phân cấp	下放
Dưới đây là	下文
Bên dưới	下方
Khuya	下旬
Kỳ họp tiếp theo	下期
Xuống đây.	下来
Xuống kệ	下架
Chỉ số dưới	下标
Chơi cờ tướng	下棋
Đi xuống cầu thang	下楼
Đầu độc	下毒
Xuống nước	下水
Chìm	下沉
Đặt cược	下注
Khốn khổ	下流
Hạ lưu	下游
Sự sụt giảm	下滑
Lặn xuống	下潜
Sau giờ làm việc	下班
Tuyến dưới	下线
Thắt lưng	下腰
Xuống tàu	下船
Kê đơn thuốc	下药
Nơi ở của	下落
được chôn cất	下葬
Đi xuống	下行
Dưới đây là bảng	下表
Các cơ sở hạ	下设
Dưới lớp học	下课
Điều chỉnh giảm	下调
Sự sụt giảm	下跌
Quỳ xuống!	下跪
Ra khỏi xe	下车
Tải về	下载
Ban hành	下达
Phần dưới	下部
Neo neo	下锚
Sự sụt giảm	下降
Giới hạn dưới	下限
Hạ viện	下院
Những cơn mưa	下雨
Tuyết rơi	下雪
Dưới đây là	下面
Bất lợi	下风
Xuống ngựa đi.	下马
Không dưới	不下
Sự lỏng lẻo	不严
Bhutan	不丹
Chẳng bao lâu nữa,	不久
Không mua	不买
Không, không.	不了
Không có chuyện đó.	不予
Không ngừng nghỉ	不休
Sẽ không có chuyện đó đâu.	不会
Nghèo nàn.	不佳
Bất tiện	不便
Không, không.	不倒
Không dừng lại ở	不停
Chưa đầy đủ.	不全
Bất công	不公
Không còn nữa.	不再
Không suy giảm	不减
Bất lợi	不利
Chưa đến	不到
Yếu kém.	不力
Không di chuyển.	不动
Không bao gồm	不包
Không phải để bán	不卖
Không đi đâu hết.	不去
Không thay đổi	不变
Không được.	不可
Không ăn.	不吃
Sự bất hòa	不合
Sự khác biệt	不同
Không tốt.	不周
Đừng khóc.	不哭
Không tốt.	不善
Không đồng đều	不均
Không thể chịu nổi	不堪
Không đủ	不够
Không ổn.	不好
Không đúng.	不妥
Có thể mong muốn	不妨
Vô sinh	不孕
Bất an	不安
Không chắc chắn	不定
Không nhỏ	不小
Không ít	不少
Coi thường	不屑
Không tệ.	不差
Không ngừng nghỉ.	不已
Thật đáng tiếc khi	不幸
Không nên để	不应
Không được mở.	不开
Không phù hợp	不当
Không được phép	不得
Không nhất thiết phải	不必
Không chung thủy	不忠
Không vui đâu.	不快
Không sợ	不怕
Không muốn.	不想
Chán nản	不振
Không bỏ qua.	不放
Liên tục	不断
Chưa xác định được	不明
Không phải.	不是
Chưa muộn đâu.	不晚
Bất tử	不朽
Không, không.	不来
Không chỉ dừng lại ở	不止
Không điều trị được	不治
Không sạch sẽ.	不洁
Không sâu sắc.	不深
Không rõ ràng	不清
Bất bình	不满
Không nóng.	不热
Nếu không thì	不然
Không thoải mái	不爽
Không cần thiết.	不用
Không ở lại.	不留
Không thẳng.	不直
Bất hòa	不睦
Không đúng.	不确
Đáng ngại	不祥
Không ổn định	不稳
Không cười.	不笑
Không nhất quán	不符
Không tính	不算
Bất chấp	不管
Không phạt	不罚
Ngưỡng chế	不羁
Vô sinh	不育
Bất khả chiến bại	不胜
Không thể	不能
Nghèo nàn.	不良
Không hề nhỏ.	不菲
Không được.	不行
Không được	不要
Không thấy.	不见
Không hiểu sao?	不解
Không nên.	不该
Không rõ	不详
Không nói chuyện.	不谈
Bất bại	不败
Không giành chiến thắng	不赢
Không đủ khả năng	不起
Bất cập	不足
Không để thua	不输
Tuy nhiên,	不过
Không xa lắm.	不远
Khó chịu	不适
Không hợp lý.	不通
Không hay đâu.	不酷
Không nặng nề.	不重
Không tệ.	不错
Không giới hạn	不限
Không khó để	不难
Không đạt yêu cầu.	不顺
Không đói.	不饿
Không cao.	不高
Với sự tham gia của các	与会
Hay không.	与否
Với tình dục	与性
Harlequin	丑角
Vụ bê bối	丑闻
Xấu xí	丑陋
Mặt hàng xấu xí	丑项
Các chuyên ngành	专业
Bằng sáng chế	专利
Chế độ chuyên quyền	专制
Khu vực đặc biệt	专区
Độc quyền	专卖
Ủy viên	专员
Ủy ban chuyên trách	专委
Các chuyên gia	专家
độc quyền	专属
Tập trung cao độ	专心
Tài khoản đặc biệt	专户
Chuyên môn	专才
Bài báo đặc biệt	专文
độc quyền	专有
Chuyên cơ	专机
Chuyên mục	专栏
Quỹ đặc biệt	专款
Tập trung	专注
Dành riêng cho	专用
Các chuyên ngành	专科
Đường dây chuyên dụng	专线
Cơ quan chuyên trách	专署
Toàn thời gian	专职
Sách chuyên khảo	专著
Phỏng vấn	专访
Album	专辑
Chuyên môn	专长
Các chuyên ngành	专门
Các chuyên đề	专题
Mối thù	世仇
Các thế hệ	世代
Sega	世嘉
Các gia đình	世家
Tinh vi	世故
Thế giới	世界
Dòng dõi	世系
Thế kỷ	世纪
Ngân hàng Thế giới	世行
Nhà Trâu	丘奇
Chubb	丘布
Mụn nhọt	丘疹
Những ngọn đồi	丘陵
Promazine	丙嗪
Propyl	丙基
Propylen	丙烯
Propane	丙烷
Propylamine	丙胺
Axeton	丙酮
Propyl este	丙酯
Axit propionic	丙酸
Propanol	丙醇
Propionaldehyde	丙醛
Các chủ sở hữu	业主
Các doanh nghiệp	业务
Các chuyên gia	业士
Ngành công nghiệp	业界
Hiệu quả hoạt động	业绩
Các doanh nghiệp trong ngành	业者
Bộ sách	丛书
Loạt bài	丛刊
Rừng rậm	丛林
Công	丛生
ĐỒNG DŨNG	东东
Đông Á	东亚
Tokyo	东京
Phía đông	东侧
Phía Đông Bắc Bộ	东北
Khu Đông	东区
Đông Nam Bộ	东南
Chủ nhà	东家
Cuộc hành quân phương Đông	东征
Đông Đức	东德
Mở rộng về phía Đông	东扩
Phương Đông	东方
Làng Đông	东村
Đông Âu	东欧
ASEAN	东盟
Cuối phía đông	东端
Những điều	东西
Đơn vị chủ quản	东道
Đông	东部
Đông Phi	东非
Phía đông	东面
Khăn lụa	丝巾
Ruy băng	丝带
Kéo	丝束
Lụa tơ tằm	丝绸
Vòi	丝锥
Xấu hổ	丢人
Mất điểm	丢分
Mất mát	丢失
Loại bỏ	丢弃
Mất bóng	丢球
Xấu hổ	丢脸
Mất giày	丢鞋
Hai trong số các	两个
Hai người	两人
Hai mặt hàng	两件
Hai bản sao	两份
Hai phiên	两会
Hai người bị thương	两伤
Hai người	两位
Hai trường hợp	两例
Hai bên	两侧
Hai lần	两倍
Hai con dao	两刀
Hai điểm	两分
Hai liều	两剂
Hai nửa	两半
Hai đôi	两双
Hai câu đối	两句
Hai trong số các	两只
Hai trong số các	两名
Hai tuần nữa.	两周
Hai nước	两国
Hai phiên	两场
Hai tiếng.	两声
Hai địa điểm	两处
Trong hai ngày	两天
Hai chữ	两字
Hai mùa giải	两季
Hai tầng	两层
Hai phiên	两届
Hai tuổi	两岁
Hai bờ eo biển	两岸
Hai ghế ngồi	两席
Hai quân bình	两平
Trong hai năm	两年
Hai tấm	两张
Cả hai giới	两性
Hai phần trăm	两成
Hai cú đấm	两拳
Hai bên	两旁
Hai ngôi sao	两星
Hai đêm	两晚
Hai cú đánh	两杆
Hai cốc	两杯
Hai cực	两极
Hai phát súng	两枪
Hai cột	两栏
Lưỡng cư	两栖
Hai lần	两次
Hai bước	两步
Hai đoạn văn	两段
Hai đồng	两洞
Hai điểm	两点
Hai bàn thắng	两球
Hai lần	两番
Hai tỉnh	两省
Hai cân.	两磅
Hai phiếu bầu	两票
Hai loại	两种
Hai đầu	两端
Hai mét.	两米
Hai loại	两类
Hai cấp độ	两级
Hai nhóm	两组
Cả hai	两者
Hai vị trí	两职
Hai bàn chân	两脚
Hai trường hợp	两起
Cả hai phía	两边
Hai lần	两遍
Hai nhà	两院
Thế tiến thoái lưỡng nan	两难
Hai tập	两集
Hai mặt	两面
Hai mặt hàng	两项
Hai chiếc	两颗
Sự quyết liệt	严厉
Nghiêm ngặt và chặt chẽ.	严实
Chặt chẽ.	严密
Rét đậm, rét hại	严寒
Nghiệt ngã	严峻
Đánh mạnh	严打
Kiểm tra chặt chẽ	严查
Nghiêm ngặt	严格
Nghiêm túc	严肃
Sự khắc nghiệt	严苛
Khắt khe	严谨
Sự khắc nghiệt	严酷
Nghiêm trọng.	严重
Mất người thân	丧亲
Góa bụa	丧偶
Mất mạng	丧命
Mất mát	丧失
Trang phục tang lễ	丧服
Mất mạng	丧生
Hồi chuông báo tử	丧钟
Các cá nhân	个人
Các cá nhân	个体
Cá nhân	个别
Các quận, huyện	个区
Một nhà máy	个厂
Triển lãm cá nhân	个展
Các bang	个州
Tính cách	个性
Số lượng	个数
Một ngôi làng	个村
Các trường hợp	个案
Một điểm	个点
Một quả bóng.	个球
Các tỉnh thành	个省
Các cổ phiếu riêng lẻ	个股
Một tiểu đoàn	个营
Một sự thích thú.	个赞
Trung Đông	中东
Trung Á	中亚
Các cơ quan trung gian	中介
Sự vu khống	中伤
Cột giữa	中列
Y học cổ truyền Trung Quốc	中医
Buổi trưa	中午
Trung vệ	中卫
Trung Quốc	中国
Tiền vệ trung tâm	中场
Trung bình	中型
Trung sĩ.	中士
Trung Quốc và nước ngoài	中外
Trung ương	中央
Trúng thưởng	中奖
Nơtron	中子
Trường trung học cơ sở	中学
Trung tướng	中将
Trung úy.	中尉
Đảo giữa	中岛
Tuổi trung niên	中年
Trung Quốc nên	中应
Tâm nhĩ	中庭
Bị bắn.	中弹
Trung tâm	中心
Trung lập	中性
Ngón tay giữa	中指
Trung Quốc	中文
Sự gián đoạn	中断
Giữa lúc	中旬
Say nắng	中暑
Trung hạn	中期
Trung Quốc đến	中来
Trung ương	中枢
Bị bắn	中枪
Trúng thầu	中标
Trung tá	中校
Hộp giữa	中框
Trung Âu	中欧
Hủy bỏ	中止
Phân khúc giữa	中段
Ngộ độc	中毒
Nước tận thu	中水
Giữa dòng chảy	中流
Vùng trung lưu	中游
Điểm giữa	中点
Trung ương	中环
Muối trung bình	中盐
Trung Quốc cho biết	中称
Trung lập	中立
Trung bình	中等
Bột vừa	中粉
Hạt trung bình	中粒
Trung cấp	中级
Đường giữa	中线
Tiếp sức	中继
Y học cổ truyền Trung Quốc	中药
Trứng trung bình	中蛋
Ngân hàng Trung Quốc	中行
Trung Quốc cho biết	中说
Siêu thị Trung Quốc	中超
Trung ương	中部
Trung tâm	中锋
Ở giữa	中间
Phi đội	中队
Trung Phi	中非
Đột quỵ	中风
Đồ ăn Trung Quốc	中餐
Sự phong phú	丰厚
Sự phong phú	丰富
Sự phong phú	丰度
Vụ mùa bội thu	丰收
Đầy đặn	丰满
Phương Trung	丰特
Toyota	丰田
Sự phong phú	丰盛
Thịt xiên que	串烧
Hàng loạt	串联
Thông đồng	串通
Chuyển dạ	临产
Tạm thời	临时
Quan trọng	临界
Đến gần	临近
Thịt viên	丸子
Denver	丹佛
Salvia miltiorrhiza	丹参
Đan Chi	丹奇
Danny.	丹尼
Danner.	丹纳
Dancy.	丹西
Denton.	丹顿
Đan Mạch	丹麦
Chủ yếu là	为主
Cho niềm vui	为乐
Vì lợi ích của	为了
Đối với đồng đội	为伍
Đối với đồng hành	为伴
Tại sao?	为何
Lấy ví dụ như	为例
Trước hết là	为先
Tùy theo điều kiện nào	为准
Đối với người con dâu	为妇
Đối với người vợ	为妻
Để phù hợp	为宜
Gây thiệt hại cho	为害
Đối với nhà	为家
Đối với giường	为床
Để làm cơ sở cho	为据
Đối với những căn cứ	为本
Cho đến thời điểm	为止
Để làm được điều này,	为此
Đối với Luật	为法
Để kiếm sống	为生
Đối với ranh giới	为界
Để trống rỗng	为空
Tự hào về	为荣
Như một minh chứng	为证
Ưu tiên hàng đầu	为重
Trong giới hạn	为限
Đối với đề tài	为题
Đối với thực phẩm	为食
Dẫn đầu là	为首
Chủ nghĩa	主义
Chủ nhân	主人
Giám đốc	主任
Đối tượng	主体
Chủ nhân của	主使
Sáng tạo chính	主创
Lực lượng chủ lực	主力
Chủ trì tổ chức	主办
Chủ động	主动
Thẻ chính	主卡
Bếp trưởng	主厨
Ca sĩ chính	主唱
Sân nhà	主场
Các bà nội trợ	主妇
Chủ tọa phiên tòa	主审
Chiếm ưu thế	主宰
Khách mời danh dự	主宾
Chiếm ưu thế	主导
Huấn luyện viên trưởng	主帅
Chủ tịch	主席
Xương sống	主干
Khẳng định	主张
Ý tưởng	主意
Chủ trì	主持
Các mỏ neo	主播
Giám mục	主教
Chủ đề chính	主旨
Chủ nhà	主机
Chủ quyền	主权
Chủ đạo	主流
Diễn viên chính	主演
Người phạm tội chính	主犯
Giám thị	主管
Tổng biên tập	主编
Món chính	主菜
Đường phố chính	主街
Chính	主要
Ý kiến của	主见
Nhân vật chính	主角
Diễn giả	主讲
Kẻ chủ mưu	主谋
Trục chính	主轴
Trang chủ	主页
Đối tượng	主题
Các mặt hàng chủ lực	主食
Rita.	丽塔
Liz.	丽斯
Lisa.	丽莎
Lido	丽都
Ví dụ như	举例
Tổ chức	举办
Những động thái	举动
Nâng lên	举升
Giơ tay lên.	举手
Báo cáo	举报
Những sáng kiến	举措
Giương cao lá cờ	举旗
Nâng ly chúc mừng	举杯
Hành vi ứng xử	举止
Nâng cao tấm biển	举牌
được tổ chức	举行
Bằng chứng	举证
Nâng cao	举起
Cử tạ	举重
Nghĩa vụ	义务
Bán hàng từ thiện	义卖
Tình nguyện viên	义工
Sự phẫn nộ chính đáng	义愤
Diễn xuất từ thiện	义演
Mắt nhân tạo	义眼
Một trong những	之一
Thứ bảy	之七
Thứ ba	之三
Trên đỉnh	之上
Dưới	之下
Trong số những người	之中
Trong thời gian dài	之久
Cuộc tranh cãi	之争
Vấn đề của	之事
Thứ hai	之二
Năm trong số các	之五
Thấp của	之低
Tác phẩm của	之作
Ánh sáng của	之光
Thứ tám	之八
Thứ sáu	之六
Trong phạm vi	之内
Mùa đông	之冬
Sự khác biệt giữa	之分
Trong số các	之列
Vào thời điểm bắt đầu	之初
Trước khi	之前
Thanh kiếm của	之剑
Thứ mười	之十
Những người bạn của	之友
Miệng của	之口
Tên của	之名
Sau khi	之后
Thứ tư	之四
Khu vườn của	之园
Vùng đất của	之地
Thành phố của	之城
Tháp của	之塔
Ngôi mộ của	之墓
Bức tường của	之墙
Người đàn ông của	之士
Tiếng nói của	之声
Nơi nào có	之处
Mùa hè	之夏
Bên ngoài	之外
Rất nhiều người trong số họ.	之多
Đêm	之夜
Lớn như thế nào.	之大
Con gái của	之女
Tốt lắm.	之好
Con trai của	之子
Tác hại của	之害
Nhà của	之家
Rất ít.	之少
Hòn đảo của	之岛
Đỉnh cao của	之巅
Nhà nước của	之州
Sự khác biệt giữa	之差
Sự rộng lớn của	之广
Bóng của	之影
Những tấm lòng	之心
Nỗi lo	之忧
Nhanh quá.	之快
Cơn thịnh nộ của	之怒
Tình yêu của	之恋
Tình cảm	之情
Ý nghĩa của	之意
Cảm nhận của	之感
Cuộc chiến của	之战
Bàn tay của	之手
Cái nắm tay của	之握
Hành trình	之旅
Những ngôi sao của	之星
Mùa xuân	之春
Cơ hội của	之机
Cây của	之树
Cái gốc của	之根
Cây cầu của	之桥
Những giấc mơ	之梦
Bài ca của	之歌
Cái chết của	之死
Cái chết của	之殇
Mẹ của	之母
Tỷ lệ của	之比
Nước của	之水
Dòng sông của	之河
Mùa xuân của	之泉
Biển của	之海
Chiều sâu của	之深
Nguồn gốc của	之源
Ngọn lửa của	之火
Tình yêu của	之爱
Cha của	之父
Những điều	之物
Vua	之王
Việc sử dụng	之用
Nỗi đau	之痛
Đôi mắt của	之眼
Những viên đá của	之石
Vị thần của	之神
Cửa sổ của	之窗
Cây bút của	之笔
Chiến lược của	之策
Mũi tên của	之箭
Mạng lưới của	之网
Tội lỗi của	之罪
Vẻ đẹp của	之美
Đôi cánh của	之翼
Vũ điệu của	之舞
Con thuyền của	之舟
Con tàu của	之船
Những bông hoa của	之花
Nỗi khổ của	之苦
Việc chôn cất của	之葬
Góc của	之角
Lời nói của	之词
Bí ẩn	之谜
Thung lũng của	之谷
Sự giàu có của	之财
Những con đường	之路
Gót chân	之踵
Bánh xe của	之轮
Sự lựa chọn của	之选
Cách làm	之道
Khoảng cách	之遥
Sức nặng của	之重
Chìa khóa của	之钥
Giữa các	之间
Đội ngũ của	之队
Nhân dịp	之际
Những cơn gió	之风
Mức độ cao của	之高
Linh hồn của	之魂
Đại bàng	之鹰
Udin	乌丁
Những đám mây đen	乌云
Ukan	乌坎
Um	乌姆
Wugan	乌干
Ula	乌拉
Us	乌斯
Ulin	乌林
Uzeh.	乌泽
Uno	乌诺
Mực ống	乌贼
Uda	乌达
Cá đối	乌鱼
Cá lóc	乌鳢
Raven	乌鸦
Ô Long	乌龙
Rùa	乌龟
Chad	乍得
Sự yếu đuối	乏力
Tẻ nhạt.	乏味
Niềm vui	乐事
Nhạc cụ	乐器
Dàn nhạc	乐团
Thiên đường	乐园
Sân khấu âm nhạc	乐坛
Niềm vui	乐子
Âm nhạc	乐曲
Dimethoate	乐果
Lê Phúc	乐福
Lạc quan	乐观
Bản nhạc	乐谱
Tesco	乐购
Niềm vui	乐趣
Xổ số kiến thiết	乐透
Ban nhạc	乐队
Lego	乐高
Bóng bàn	乒乓
Jordan	乔丹
Josh.	乔什
Joey.	乔伊
Jolly.	乔利
Josh.	乔希
Jodd.	乔德
Jon.	乔恩
George	乔治
Joe đã vẽ	乔画
Jonah.	乔纳
Jovi.	乔维
Josie.	乔西
Nhân lên gấp bội	乘以
Đội ngũ nhân viên	乘员
